Bn,COY,Village,Mohalla,House No,Name,Relation,Sex,Age,Occupation,Mob No,GR,Property,Floor,Colour,No of Rooms,Perimeter Fence,Cowshed,Entry points,LAT/LONG
78 BN,A Coy,Sant,Ganesh,Z-41,Ollie,Wife,M,23,Scientist,9213840132,,1 kunal,Single,Blue,5,N,Y,2,28.679079/77.069739
78 BN,A Coy,Sant,Ganesh,Z-47,Adam,Husband,M,56,Attender,9213840133,,1 kunal,Single,Green,4,N,Y,2,28.679079/77.069740
78 BN,A Coy,Sant,Ganesh,Z-47,William,Wife,M,24,Buisnessman,9213840134,,1 kunal,Single,Lavender,2,N,Y,3,28.679079/77.069741
78 BN,A Coy,Sant,Ganesh,Z-47,Jaxon,Daughter,F,56,Technician,9213840135,,1 kunal,Single,Cherry,3,N,N,2,28.679079/77.069742
78 BN,A Coy,Badlapur,Zebra,Z-51,Aaron,Father,F,32,Shopkeeper,9213840136,,1 kunal,Single,Light green,5,N,N,1,28.679079/77.069743
78 BN,A Coy,Badlapur,Zebra,Z-51,Cameron,Mother,F,67,Doctor,9213840137,,1 kunal,Single,Red,4,Y,N,2,28.679079/77.069744
78 BN,A Coy,Badlapur,Zebra,Z-51,Liam,Husband,M,89,Teacher,9213840138,,1 kunal,Single,Pink,3,N,N,2,28.679079/77.069745
78 BN,A Coy,Badlapur,Zebra,Z-51,George,Wife,F,96,Engineer,9213840139,,1 kunal,Single,Purple,3,N,N,2,28.679079/77.069746
78 BN,A Coy,Badlapur,Zebra,Z-55,Jamie,Husband,M,49,Painter,9213840140,,1 kunal,Single,White,5,Y,Y,2,28.679079/77.069747
78 BN,A Coy,Badlapur,Zebra,Z-55,Callum,Wife,F,60,Call Centre,9213840141,,2 kunal,Single,Blue,3,N,N,3,28.679079/77.069748
78 BN,A Coy,Badlapur,Zebra,Z-55,Matthew,Daughter,M,23,Air hostess,9213840142,,2 kunal,Single,Green,4,N,N,1,28.679079/77.069749
78 BN,A Coy,Badlapur,Raja,Z-61,Muhammad,Husband,F,43,Pilot,9213840143,,2 kunal,Single,Lavender,4,N,Y,2,28.679079/77.069750
78 BN,A Coy,Badlapur,Raja,Z-61,Caleb,Wife,M,75,Scientist,9213840144,,2 kunal,Single,Cherry,2,N,N,2,28.679079/77.069751
78 BN,A Coy,Badlapur,Raja,Z-63,Nathan,Husband,M,64,Attender,9213840145,,2 kunal,Single,Light green,4,Y,N,1,28.679079/77.069752
78 BN,A Coy,Badlapur,Raja,Z-63,Tommy,Wife,M,86,Buisnessman,9213840146,,2 kunal,Single,Red,5,Y,N,2,28.679079/77.069753
78 BN,A Coy,Badlapur,Raja,Z-63,Carter,Daughter,F,62,Technician,9213840147,,2 kunal,Single,Pink,2,N,N,2,28.679079/77.069754
78 BN,A Coy,Badlapur,Raja,Z-66,Blake,Husband,F,98,Shopkeeper,9213840148,,2 kunal,Single,Purple,3,Y,Y,1,28.679079/77.069755
78 BN,A Coy,Badlapur,Raja,Z-66,Andrew,Wife,F,21,Doctor,9213840149,,1 kunal,Single,White,5,N,Y,2,28.679079/77.069756
78 BN,A Coy,Badlapur,Vijay,Z-71,Luke,Father,M,33,Teacher,9213840150,,1 kunal,Single,Blue,2,Y,N,2,28.679079/77.069757
78 BN,A Coy,Badlapur,Vijay,Z-71,Jude,Mother,F,45,Engineer,9213840151,,1 kunal,Single,Green,4,Y,Y,2,28.679079/77.069758
78 BN,A Coy,Badlapur,Vijay,Z-71,Angus,Husband,M,12,Painter,9213840152,,1 kunal,Single,Lavender,4,Y,N,2,28.679079/77.069759
78 BN,A Coy,Badlapur,Vijay,Z-71,Riley,Wife,F,45,Call Centre,9213840153,,1 kunal,Single,Cherry,3,Y,Y,2,28.679079/77.069760
78 BN,A Coy,Badlapur,Vijay,Z-75,Luca,Husband,M,23,Air hostess,9213840154,,1 kunal,Single,Light green,5,Y,Y,2,28.679079/77.069761
78 BN,A Coy,Badlapur,Vijay,Z-75,Samuel,Wife,F,67,Pilot,9213840155,,2 kunal,Single,Red,2,Y,Y,2,28.679079/77.069762
78 BN,A Coy,Badlapur,Vijay,Z-75,Joseph,Daughter,M,23,Scientist,9213840156,,2 kunal,Single,Pink,5,N,Y,2,28.679079/77.069763
78 BN,A Coy,Badlapur,Gandhi,Z-78,David,Father,M,56,Attender,9213840157,,2 kunal,Single,Purple,5,N,Y,1,28.679079/77.069764
78 BN,A Coy,Badlapur,Gandhi,Z-78,Isaac,Mother,F,24,Buisnessman,9213840158,,2 kunal,Single,White,5,N,Y,2,28.679079/77.069765
78 BN,A Coy,Badlapur,Gandhi,Z-78,Ryan,Husband,F,56,Technician,9213840159,,2 kunal,Single,Blue,2,N,N,1,28.679079/77.069766
78 BN,A Coy,Badlapur,Gandhi,Z-78,Hamish,Wife,F,32,Shopkeeper,9213840160,,1 kunal,Single,Green,5,N,N,2,28.679079/77.069767
78 BN,A Coy,Badlapur,Gandhi,Z-82,Sonny,Husband,M,67,Doctor,9213840161,,1 kunal,Single,Lavender,6,Y,N,2,28.679079/77.069768
78 BN,A Coy,Badlapur,Gandhi,Z-82,Arlo,Wife,M,89,Teacher,9213840162,,1 kunal,Single,Cherry,3,N,N,2,28.679079/77.069769
78 BN,A Coy,Badlapur,Gandhi,Z-82,Arran,Son,M,96,Engineer,9213840163,,1 kunal,Single,Light green,4,N,N,1,28.679079/77.069770
78 BN,A Coy,Badlapur,Bose,Z-85,Cole,Father,F,49,Painter,9213840164,,1 kunal,Single,Red,3,Y,Y,1,28.679079/77.069771
78 BN,A Coy,Badlapur,Bose,Z-85,Robert,Mother,M,60,Call Centre,9213840165,,1 kunal,Single,Pink,4,N,N,1,28.679079/77.069772
78 BN,A Coy,Badlapur,Bose,Z-85,Blair,Husband,F,23,Air hostess,9213840166,,1 kunal,Single,Purple,4,N,N,2,28.679079/77.069773
78 BN,A Coy,Badlapur,Bose,Z-85,Dylan,Wife,M,43,Pilot,9213840167,,1 kunal,Single,White,2,N,Y,1,28.679079/77.069774
78 BN,A Coy,Badlapur,Bose,Z-89,Louie,Father,F,75,Scientist,9213840168,,1 kunal,Single,Blue,4,N,N,2,28.679079/77.069775
78 BN,A Coy,Badlapur,Bose,Z-89,Ruaridh,Mother,M,64,Attender,9213840169,,1 kunal,Single,Green,2,Y,N,1,28.679079/77.069776
78 BN,A Coy,Badlapur,Bose,Z-89,Connor,Husband,F,86,Buisnessman,9213840170,,1 kunal,Single,Lavender,3,Y,N,2,28.679079/77.069777
78 BN,A Coy,Badlapur,Bose,Z-89,Benjamin,Wife,F,62,Technician,9213840171,,1 kunal,Single,Cherry,4,N,N,2,28.679079/77.069778
78 BN,A Coy,Mahatama,Subhash,Z-93,Kai,Father,F,98,Shopkeeper,9213840172,,1 kunal,Single,Light green,5,Y,Y,2,28.679079/77.069779
78 BN,A Coy,Mahatama,Subhash,Z-93,Michael,Mother,M,21,Doctor,9213840173,,1 kunal,Single,Red,3,N,Y,1,28.679079/77.069780
78 BN,A Coy,Mahatama,Subhash,Z-93,Jackson,Husband,F,33,Teacher,9213840174,,1 kunal,Single,Pink,3,Y,N,2,28.679079/77.069781
78 BN,A Coy,Mahatama,Subhash,Z-93,Leon,Wife,M,45,Engineer,9213840175,,1 kunal,Single,Purple,5,Y,Y,2,28.679079/77.069782
78 BN,A Coy,Mahatama,Subhash,Z-94,Cooper,Husband,M,12,Painter,9213840176,,1 kunal,Single,White,4,Y,N,2,28.679079/77.069783
78 BN,A Coy,Mahatama,Subhash,Z-94,Louis,Wife,F,45,Call Centre,9213840177,,1 kunal,Single,Blue,2,Y,Y,3,28.679079/77.069784
78 BN,A Coy,Mahatama,Subhash,Z-94,Theodore,Son,F,23,Air hostess,9213840178,,1 kunal,Single,Green,3,Y,Y,2,28.679079/77.069785
78 BN,A Coy,Mahatama,Bhagat Singh,Z-100,Fraser,Father,M,67,Pilot,9213840179,,1 kunal,Single,Lavender,5,Y,Y,1,28.679079/77.069786
78 BN,A Coy,Mahatama,Bhagat Singh,Z-100,Owen,Mother,F,23,Scientist,9213840180,,2 kunal,Single,Cherry,4,N,Y,2,28.679079/77.069787
78 BN,A Coy,Mahatama,Bhagat Singh,Z-100,Reuben,Husband,F,56,Attender,9213840181,,2 kunal,Single,Light green,3,N,Y,2,28.679079/77.069788
78 BN,A Coy,Mahatama,Bhagat Singh,Z-100,John,Wife,M,24,Buisnessman,9213840182,,2 kunal,Single,Red,3,N,Y,2,28.679079/77.069789
78 BN,A Coy,Mahatama,Bhagat Singh,Z-101,Carson,Husband,F,56,Technician,9213840183,,2 kunal,Single,Pink,5,N,N,2,28.679079/77.069790
78 BN,A Coy,Mahatama,Bhagat Singh,Z-101,Innes,Wife,M,32,Shopkeeper,9213840184,,2 kunal,Single,Purple,3,N,N,3,28.679079/77.069791
78 BN,A Coy,Mahatama,Bhagat Singh,Z-101,Elijah,Son,F,67,Doctor,9213840185,,2 kunal,Single,White,4,Y,N,1,28.679079/77.069792
78 BN,A Coy,Mahatama,Laxmi,Z-107,Murray,Father,M,89,Teacher,9213840186,,2 kunal,Single,Blue,4,N,N,2,28.679079/77.069793
78 BN,A Coy,Mahatama,Laxmi,Z-107,Grayson,Mother,F,96,Engineer,9213840187,,2 kunal,Single,Green,2,N,N,2,28.679079/77.069794
78 BN,A Coy,Mahatama,Laxmi,Z-107,Aiden,Husband,M,49,Painter,9213840188,,1 kunal,Single,Lavender,4,Y,Y,1,28.679079/77.069795
78 BN,A Coy,Mahatama,Laxmi,Z-107,Aidan,Wife,M,60,Call Centre,9213840189,,1 kunal,Single,Cherry,5,N,N,2,28.679079/77.069796
78 BN,A Coy,Mahatama,Laxmi,Z-112,Cody,Husband,M,23,Air hostess,9213840190,,1 kunal,Single,Light green,2,N,N,2,28.679079/77.069797
78 BN,A Coy,Mahatama,Laxmi,Z-112,Elliot,Wife,F,43,Pilot,9213840191,,1 kunal,Single,Red,3,N,Y,1,28.679079/77.069798
78 BN,A Coy,Mahatama,Laxmi,Z-112,Ben,Son,F,75,Scientist,9213840192,,1 kunal,Single,Pink,5,N,N,2,28.679079/77.069799
78 BN,A Coy,Mahatama,Chandrashekhar,Z-114,Henry,Father,F,64,Attender,9213840193,,1 kunal,Single,Purple,2,Y,N,2,28.679079/77.069800
78 BN,A Coy,Mahatama,Chandrashekhar,Z-114,Sam,Mother,M,86,Buisnessman,9213840194,,2 kunal,Single,White,4,Y,N,2,28.679079/77.069801
78 BN,A Coy,Mahatama,Chandrashekhar,Z-114,Alex,Husband,F,62,Technician,9213840195,,2 kunal,Single,Blue,4,N,N,2,28.679079/77.069802
78 BN,A Coy,Mahatama,Chandrashekhar,Z-114,Ellis,Wife,M,98,Shopkeeper,9213840196,,2 kunal,Single,Green,3,Y,Y,2,28.679079/77.069803
78 BN,A Coy,Mahatama,Chandrashekhar,Z-115,Gabriel,Husband,F,21,Doctor,9213840197,,2 kunal,Single,Lavender,5,N,Y,2,28.679079/77.069804
78 BN,A Coy,Mahatama,Chandrashekhar,Z-115,Jax,Wife,M,33,Teacher,9213840198,,2 kunal,Single,Cherry,2,Y,N,2,28.679079/77.069805
78 BN,A Coy,Mahatama,Chandrashekhar,Z-115,Callan,Son,F,45,Engineer,9213840199,,1 kunal,Single,Light green,5,Y,Y,2,28.679079/77.069806
78 BN,A Coy,Mahatama,Ram,Z-121,Ruairidh,Father,M,12,Painter,9213840200,,1 kunal,Single,Red,5,Y,N,1,28.679079/77.069807
78 BN,A Coy,Mahatama,Ram,Z-121,Frankie,Mother,M,45,Call Centre,9213840201,,1 kunal,Single,Pink,5,Y,Y,2,28.679079/77.069808
78 BN,A Coy,Mahatama,Ram,Z-121,Lachlan,Husband,M,23,Air hostess,9213840202,,1 kunal,Single,Purple,2,Y,Y,1,28.679079/77.069809
78 BN,A Coy,Mahatama,Ram,Z-121,Roman,Wife,F,67,Pilot,9213840203,,1 kunal,Single,White,5,Y,Y,2,28.679079/77.069810
78 BN,A Coy,Mahatama,Ram,Z-125,Brody,Husband,F,23,Scientist,9213840204,,1 kunal,Single,Blue,6,N,Y,2,28.679079/77.069811
78 BN,A Coy,Mahatama,Ram,Z-125,Josh,Wife,F,56,Attender,9213840205,,1 kunal,Single,Green,3,N,Y,2,28.679079/77.069812
78 BN,A Coy,Mahatama,Ram,Z-125,Sebastian,Daughter,M,24,Buisnessman,9213840206,,1 kunal,Single,Lavender,4,N,Y,1,28.679079/77.069813
78 BN,A Coy,Rampur,Laxman,Z-128,Struan,Father,F,56,Technician,9213840207,,1 kunal,Single,Cherry,3,N,N,1,28.679079/77.069814
78 BN,A Coy,Rampur,Laxman,Z-128,Evan,Mother,M,32,Shopkeeper,9213840208,,1 kunal,Single,Light green,4,N,N,1,28.679079/77.069815
78 BN,A Coy,Rampur,Laxman,Z-128,Kyle,Husband,F,67,Doctor,9213840209,,1 kunal,Single,Red,4,Y,N,2,28.679079/77.069816
78 BN,A Coy,Rampur,Laxman,Z-128,Myles,Wife,M,89,Teacher,9213840210,,1 kunal,Single,Pink,2,N,N,1,28.679079/77.069817
78 BN,A Coy,Rampur,Laxman,Z-132,Calum,Husband,F,96,Engineer,9213840211,,1 kunal,Single,Purple,4,N,N,2,28.679079/77.069818
78 BN,A Coy,Rampur,Laxman,Z-132,Lochlan,Wife,M,49,Painter,9213840212,,1 kunal,Single,White,2,Y,Y,1,28.679079/77.069819
78 BN,A Coy,Rampur,Laxman,Z-132,Jayden,Son,M,60,Call Centre,9213840213,,1 kunal,Single,Blue,3,N,N,2,28.679079/77.069820
78 BN,A Coy,Rampur,Sita,Z-135,Lyle,Husband,F,23,Air hostess,9213840214,,1 kunal,Single,Green,4,N,N,2,28.679079/77.069821
78 BN,A Coy,Rampur,Sita,Z-135,Robbie,Wife,F,43,Pilot,9213840215,,1 kunal,Single,Lavender,5,N,Y,2,28.679079/77.069822
78 BN,A Coy,Rampur,Sita,Z-137,Calvin,Husband,F,75,Scientist,9213840216,,1 kunal,Single,Cherry,3,N,N,1,28.679079/77.069823
78 BN,A Coy,Rampur,Sita,Z-137,Corey,Wife,M,64,Attender,9213840217,,1 kunal,Single,Light green,3,Y,N,2,28.679079/77.069824
78 BN,A Coy,Rampur,Sita,Z-139,Jaxson,Husband,M,86,Buisnessman,9213840218,,1 kunal,Single,Red,5,Y,N,2,28.679079/77.069825
78 BN,A Coy,Rampur,Sita,Z-139,Christopher,Wife,M,62,Technician,9213840219,,2 kunal,Single,Pink,4,N,N,2,28.679079/77.069826
78 BN,A Coy,Rampur,Sita,Z-139,Teddy,Son,F,98,Shopkeeper,9213840220,,2 kunal,Single,Purple,2,Y,Y,3,28.679079/77.069827
78 BN,A Coy,Rampur,Bhim,Z-142,Eli,Husband,M,21,Doctor,9213840221,,2 kunal,Single,White,3,N,Y,2,28.679079/77.069828
78 BN,A Coy,Rampur,Bhim,Z-142,Marcus,Wife,F,33,Teacher,9213840222,,2 kunal,Single,Blue,5,Y,N,1,28.679079/77.069829
78 BN,A Coy,Rampur,Bhim,Z-142,Parker,Son,M,45,Engineer,9213840223,,2 kunal,Single,Green,4,Y,Y,2,28.679079/77.069830
78 BN,A Coy,Rampur,Bhim,Z-145,Tyler,Husband,F,12,Painter,9213840224,,2 kunal,Single,Lavender,3,Y,N,2,28.679079/77.069831
78 BN,A Coy,Rampur,Bhim,Z-145,Euan,Wife,M,45,Call Centre,9213840225,,2 kunal,Single,Cherry,3,Y,Y,2,28.679079/77.069832
78 BN,A Coy,Rampur,Bhim,Z-147,Hudson,Husband,F,23,Air hostess,9213840226,,2 kunal,Single,Light green,5,Y,Y,2,28.679079/77.069833
78 BN,A Coy,Rampur,Bhim,Z-147,Joey,Wife,F,67,Pilot,9213840227,,1 kunal,Single,Red,3,Y,Y,3,28.679079/77.069834
78 BN,A Coy,Rampur,Arjun,Z-149,Austin,Husband,F,23,Scientist,9213840228,,1 kunal,Single,Pink,4,N,Y,1,28.679079/77.069835
78 BN,A Coy,Rampur,Arjun,Z-149,Zac,Wife,M,56,Attender,9213840229,,1 kunal,Single,Purple,4,N,Y,2,28.679079/77.069836
78 BN,A Coy,Rampur,Arjun,Z-149,Dominic,Son,F,24,Buisnessman,9213840230,,1 kunal,Single,White,2,N,Y,2,28.679079/77.069837
78 BN,A Coy,Rampur,Arjun,Z-152,Kayden,Husband,M,56,Technician,9213840231,,1 kunal,Single,Blue,4,N,N,1,28.679079/77.069838
78 BN,A Coy,Rampur,Arjun,Z-152,Zack,Wife,M,32,Shopkeeper,9213840232,,1 kunal,Single,Green,5,N,N,2,28.679079/77.069839
78 BN,A Coy,Rampur,Arjun,Z-152,Harvey,Son,F,67,Doctor,9213840233,,2 kunal,Single,Lavender,2,Y,N,2,28.679079/77.069840
78 BN,A Coy,Rampur,Arjun,Z-152,Rowan,Daughter,F,89,Teacher,9213840234,,2 kunal,Single,Cherry,3,N,N,1,28.679079/77.069841
78 BN,A Coy,Rampur,Yudhishthir,Z-156,Hugo,Husband,M,96,Engineer,9213840235,,2 kunal,Single,Light green,5,N,N,2,28.679079/77.069842
78 BN,A Coy,Rampur,Yudhishthir,Z-156,Edward,Wife,F,49,Painter,9213840236,,2 kunal,Single,Red,2,Y,Y,2,28.679079/77.069843
78 BN,A Coy,Rampur,Yudhishthir,Z-156,Fergus,Son,F,60,Call Centre,9213840237,,2 kunal,Single,Pink,4,N,N,2,28.679079/77.069844
78 BN,A Coy,Rampur,Yudhishthir,Z-156,Finley,Daughter,M,23,Air hostess,9213840238,,1 kunal,Single,Purple,4,N,N,2,28.679079/77.069845
78 BN,A Coy,Rampur,Yudhishthir,Z-160,Patrick,Husband,F,43,Pilot,9213840239,,1 kunal,Single,White,3,N,Y,2,28.679079/77.069846
78 BN,A Coy,Rampur,Yudhishthir,Z-160,Cillian,Wife,M,75,Scientist,9213840240,,1 kunal,Single,Blue,5,N,N,2,28.679079/77.069847
78 BN,A Coy,Rampur,Yudhishthir,Z-160,Conor,Son,F,64,Attender,9213840241,,1 kunal,Single,Green,2,Y,N,2,28.679079/77.069848
78 BN,A Coy,Ramgarh,Yudhishthir,Z-160,Ruben,Daughter,M,86,Buisnessman,9213840242,,1 kunal,Single,Lavender,5,Y,N,2,28.679079/77.069849
78 BN,A Coy,Ramgarh,Sahdev,Z-164,Flynn,Husband,F,62,Technician,9213840243,,1 kunal,Single,Cherry,5,N,N,1,28.679079/77.069850
78 BN,A Coy,Ramgarh,Sahdev,Z-164,Jake,Wife,M,98,Shopkeeper,9213840244,,1 kunal,Single,Light green,5,Y,Y,2,28.679079/77.069851
78 BN,A Coy,Ramgarh,Sahdev,Z-164,Albie,Son,M,21,Doctor,9213840245,,1 kunal,Single,Red,2,N,Y,1,28.679079/77.069852
78 BN,A Coy,Ramgarh,Sahdev,Z-164,Levi,Daughter,M,33,Teacher,9213840246,,1 kunal,Single,Pink,5,Y,N,2,28.679079/77.069853
78 BN,A Coy,Ramgarh,Sahdev,Z-168,Mohammad,Husband,F,45,Engineer,9213840247,,1 kunal,Single,Purple,6,Y,Y,2,28.679079/77.069854
78 BN,A Coy,Ramgarh,Sahdev,Z-168,Rhys,Wife,F,12,Painter,9213840248,,1 kunal,Single,White,3,Y,N,2,28.679079/77.069855
78 BN,A Coy,Ramgarh,Nakul,Z-170,Ronan,Husband,F,45,Call Centre,9213840249,,1 kunal,Single,Blue,4,Y,Y,1,28.679079/77.069856
78 BN,A Coy,Ramgarh,Nakul,Z-170,Zach,Wife,M,23,Air hostess,9213840250,,1 kunal,Single,Green,3,Y,Y,1,28.679079/77.069857
78 BN,A Coy,Ramgarh,Nakul,Z-170,Zachary,Son,F,67,Pilot,9213840251,,1 kunal,Single,Lavender,4,Y,Y,1,28.679079/77.069858
78 BN,A Coy,Ramgarh,Nakul,Z-170,Ezra,Daughter,M,23,Scientist,9213840252,,1 kunal,Single,Cherry,4,N,Y,2,28.679079/77.069859
78 BN,A Coy,Ramgarh,Nakul,Z-170,Charles,Husband,F,56,Attender,9213840253,,1 kunal,Single,Light green,2,N,Y,1,28.679079/77.069860
78 BN,A Coy,Ramgarh,Nakul,Z-170,Kian,Wife,M,24,Buisnessman,9213840254,,1 kunal,Single,Red,4,N,Y,2,28.679079/77.069861
78 BN,A Coy,Ramgarh,Nakul,Z-170,Kieran,Daughter,F,56,Technician,9213840255,,1 kunal,Single,Pink,2,N,N,1,28.679079/77.069862
78 BN,A Coy,Ramgarh,Hanuman,Z-177,Mohammed,Husband,M,32,Shopkeeper,9213840256,,1 kunal,Single,Purple,3,N,N,2,28.679079/77.069863
78 BN,A Coy,Ramgarh,Hanuman,Z-177,Zak,Wife,M,67,Doctor,9213840257,,1 kunal,Single,White,4,Y,N,2,28.679079/77.069864
78 BN,A Coy,Ramgarh,Hanuman,Z-177,Anthony,Daughter,M,89,Teacher,9213840258,,2 kunal,Single,Blue,5,N,N,2,28.679079/77.069865
78 BN,A Coy,Ramgarh,Hanuman,Z-177,Bradley,Husband,F,96,Engineer,9213840259,,2 kunal,Single,Green,3,N,N,1,28.679079/77.069866
78 BN,A Coy,Ramgarh,Hanuman,Z-177,Elliott,Wife,F,49,Painter,9213840260,,2 kunal,Single,Lavender,3,Y,Y,2,28.679079/77.069867
78 BN,A Coy,Ramgarh,Hanuman,Z-177,Mark,Daughter,F,60,Call Centre,9213840261,,2 kunal,Single,Cherry,5,N,N,2,28.679079/77.069868
78 BN,A Coy,Ramgarh,Hanuman,Z-177,Miller,Son,M,23,Air hostess,9213840262,,2 kunal,Single,Light green,4,N,N,2,28.679079/77.069869
78 BN,A Coy,Ramgarh,Krishna,Z-184,Felix,Husband,F,43,Pilot,9213840263,,2 kunal,Single,Red,2,N,Y,3,28.679079/77.069870
78 BN,A Coy,Ramgarh,Krishna,Z-184,Harley,Wife,M,75,Scientist,9213840264,,2 kunal,Single,Pink,3,N,N,2,28.679079/77.069871
78 BN,A Coy,Ramgarh,Krishna,Z-184,Jay,Daughter,F,64,Attender,9213840265,,2 kunal,Single,Purple,5,Y,N,1,28.679079/77.069872
78 BN,A Coy,Ramgarh,Krishna,Z-187,Jordan,Husband,M,86,Buisnessman,9213840266,,1 kunal,Single,White,4,Y,N,2,28.679079/77.069873
78 BN,A Coy,Ramgarh,Krishna,Z-187,Milo,Wife,F,62,Technician,9213840267,,1 kunal,Single,Blue,3,N,N,2,28.679079/77.069874
78 BN,A Coy,Ramgarh,Krishna,Z-187,Oran,Daughter,M,98,Shopkeeper,9213840268,,1 kunal,Single,Green,3,Y,Y,2,28.679079/77.069875
78 BN,A Coy,Ramgarh,Krishna,Z-187,Peter,Son,M,21,Doctor,9213840269,,1 kunal,Single,Lavender,5,N,Y,2,28.679079/77.069876
